index,label,review
1,0.5,"""此期間預訂，入住首日酒店贈送每間房10元洗衣券一張，通過攜程預訂，入住首日每房還可獲贈歡迎水果一份。“我入住的時候，上面兩項一個都沒看到。。。賓館回饋2008年7月16日：首先對您上次入住的時候漏送洗衣券及水果一事向您表示深深的歉意，由於您入住當天為6.18會議接待高峰，造成前臺漏送您洗衣券及水果，我們已嚴肅處理此事。在您下次入住的時候我們會補送洗衣券及水果並為您提供更優質的服務。"
2,0.5,&#35828;&#23454;&#35805;，&#23545;景&#21306;酒店的硬體我&#27809;有&#25253;太高的期望，又是&#40644;金週期&#38388;，價格肯定偏&#36149;。但&#23454;&#38469;入住後，感&#35273;&#36824;是很不&#38169;的（可能是期望低的&#32536;故吧）。酒店硬體普通，但&#29615;境超好，服&#21153;&#21592;素&#36136;&#36739;低，&#24577;度&#23646;於死&#40060;&#31867;，需要&#24110;助的事&#39033;能推&#21017;推。唯一提出表&#25196;的是酒店&#33829;&#38144;部&#38376;的相&#32463;理（女，13509520519），&#32473;了我&#20204;很大&#24110;助。&#22269;&#24198;期&#38388;竹筏漂流不&#23545;散客&#21334;票，&#35828;是全部&#39044;&#35746;光了，我靠！！！怎麼能不&#32473;散客留票，&#36825;就是景&#21306;的管理。下次趕上&#40644;金周大家千萬&#35760;得要提前&#39044;&#32422;！本&#26469;以&#20026;旅行要以&#36951;憾告&#32456;，可在與酒店服&#21153;&#21592;&#23547;求&#24110;助不予理&#20250;的失望中，相&#32463;理主&#21160;&#36807;&#26469;瞭解情&#20917;，並&#31215;極&#32473;我&#20204;&#32852;系船票，最&#32456;弄到了船票，使我&#20204;的自助遊精彩&#32467;束，真的是很感&#35874;她。另外，打出租&#35760;住3508&#36710;&#21495;，司機&#24072;傅姓占，價格公道，不宰客，&#24577;度也很好。補充點評2007年10月10日：妗趕ㄛ勤劓Е嬴虛腔璃掛膻衄惕詢腔ㄛ酴踢潔ㄛ?r跡諫隅⑴幛〔筍妗昵攴ㄛ橇遜竭祥渣腔ㄗ褫夔腴腔埽嘟勘ㄘ〔嬴虛璃ぱㄛ筍遠噫閉疑ㄛ督竭腴ㄛ僅衾趕浚ㄛ猁堆腔岈夔〔堤桶腔嬴虛種窒腔眈冪燴ㄗ躓ㄛ13509520519ㄘㄛ跤剩蠅竭湮堆〔弊ヰ潔ㄛ楔⑸霜祥勤諦忮⑺ㄛ□窒隆嫖剩ㄛ蕞ㄐㄐㄐ?N夔祥跤諦隱⑺憩劓Е腔奪燴〔棒酴踢湮模カр暮腕猁ゴㄐ掛懂藏猁熄豢ㄛ褫鷂嬴虛督А堆祥燴頗腔ㄛ眈冪燴雄ゴ剩賤ロ表ㄛ?K當?O蠅薊ㄛ讀善剩摒⑺ㄛ蠅腔儕粗賦旰ㄛ腔竭郅〔ㄛ湖堤暮3508陬瘍ㄛ侗?C葭ㄗ13706916440ㄘㄛ?r跡鼠耋ㄛ祥諦ㄛ僅珩竭疑〔
3,0.5,(1)房間衛生乾淨空間大!(2)早餐美味風富菜色多!
4,0.5,（1）酒店冊子介紹說房間內提供飲用水，水壺內沒有水，給前臺提意見。前臺說飲用水就是衛生間的自來水（太噁心了），可以叫服務員來為我加水。冰箱內150毫升的國產飲用水要收費10元（外面買也就1-2元的飲用水）。（2）房間內收費的物品非常多，拖鞋（有免費拖鞋），襪子，等等，還有會動的套套，盒子上的文字這麼寫的。想的這麼周全，為什麼不提供飲用水呢？即使按平價收費，顧客也是情願的。（3）給大堂經理提意見，也是狡辯加愛理不理的。（4）房間內的加濕器，對我這個南方人非常好。
5,0.5,*房間很不錯，服務很好，就是位置偏點，在機場到市區的路邊，打車到江北商業圈起步價。*早餐不錯。
6,0.5,＊服務人員態度差，效率底；＊房間小，床不舒服，椅子是爛的；＊結帳，查房速度極慢；＊＊＊結論＊＊＊＊＊＊絕對不再光顧＊＊＊
7,0.5,"??攴癲善??躓ゴ督???T??憩桶隴?y最鋒??疑湮散滇?B僅竭船腔挲????腔媼??散奧祥??湮散?B僅竭船??船?c陶お????挲耋硐猁""?y最""??滇斕?B僅憩????祥眭耋□剩!耋祥眭耋腔督???I?肴??B僅猁疑?c??!剩□滇腔?r緊??疑祥饒躓"
8,0.5,“十一”開車去的。在賓館接線員的熱情引領下，較容易地找到了它。然而，進入房間後，一切都變了：房間只有一樓的，電視遙控沒有的，空調不是全天的，電話拿起不通的，詢問服務小姐一問三不知的，旅遊諮詢是空的，住了三天兩夜是一塵不變的。不過，賓館餐廳的菜好象比外面的土菜館烹飪得好一些，但是價格……不作評論！下次再也不去嘍！
9,0.5,“差“就一個字！以後再也不去這裡了。價格還貴的離譜，感覺被坑了。
10,0.5,>三星級的大堂；=零星級的房間；<-三星級的衛生；早餐尚可
