index,label,review
1,0,"來往虹橋機場,絕對方便,938公共汽車直接門對門,上車睡覺就可以了(一個半小時)賓館服務不專業(餐廳).基本上還可以,談不上星級.房價和硬體不能劃等號"
2,1,來武漢出差很多次了，這次經朋友介紹，住在海怡錦江大酒店。外表看來的確一般，但住進去後，感覺還不錯，小巧精緻。首先地理位置好，隔壁就是省政府，早晚出門就可在洪山廣場散步，交通非常方便，鬧中取靜，朋友說這裡屬於武昌的中心地段。特別喜歡房間裡的數位電視還能上網，書桌上還也配了液晶顯示幕電腦，網速是我曾經住過的酒店最快的，且不收費，這是讓我最滿意的。樓下有位朋友說，衛生間太小，其實只是淋浴間不是太大，我這近1.80的個子也還行啊，哈哈。不過我還不喜歡浴缸呢，總讓人不放心。攜程價格嘛也還行，我在網上比較過，和周邊酒店相比還是物有所值的，員工服務素質還行，有機會還會住這裡的。酒店的機場大巴經詢問大堂經理說，是由於機場大巴路線調整，機場單方面臨時取消，酒店方還在努力。但願酒店努力成功，這樣就更方便了。只是房間的地毯有些陳舊，服務員說，酒店馬上就要更換了。
3,0,來長春之前，查閱了攜程的很多酒店評分，感覺這個還算不錯的，但是入住之後感覺很失望：1、房間門壞了；2、空調不好；3、房間陳舊；4、服務一般。。。。總之性價比很低，早餐還算可以。
4,1,"來蘇州好多次了，基本上都住在這家酒店。給我的感覺非常好，房間很乾淨，設施也很全，各種用品也很不錯。而且前臺的知道我的喜好，每次都安排的很好。入住過幾次後每次都會有一些小禮品贈送，雖然價值不高，但是感覺非常溫馨，上網網速也很快，比我上次在南京住的錦江之星要好太多了。下次來蘇州這家酒店是首先。說了好的，再說不好的。就是Ctrip的商務客人基本上都被安排在東樓，房間裡感覺有點暗，光線不是太好。但是很安靜，不象主樓一樣臨街上。很適合我這種喜歡安靜的人。賓館回饋2008年8月8日：非常感謝您對我們服務的肯定,您的支援就是我們前進的動力.同時也非常感謝您對我們提出的意見,我們會對房間的燈光進行檢查及維護.期待您的再次光臨."
5,1,依海而建，地理位置絕佳，旁邊就是星海廣場。床特別大，很舒適，房間裡有咖啡包，但有一天服務生忘了放。早餐味道還不錯，但品種少，多待了幾天會吃膩。那裡的果汁飲料只有西瓜汁、橙汁，我嘗了一口橙汁，味道很淡，香精味濃，很難入口，熱咖啡還可以。
6,0,兩星級的設施(可能還沒有)，四星的收費標準。真不知道四星級是怎麼評下來的。和攜程宣傳有很大的區別。比如說有酒吧，原來是房間內食品。
7,1,兩個人同行入住，應該安排不同樓層，保護各自隱私，香港大廈似乎不知道這個慣例
8,1,"兩個月裡面已經住了三次了,當然好啦,交通也很方便哈"
9,0,兩間房只給兩條毛巾，加一條毛巾要收費5元，太過份了吧？？？
10,0,其他沒什麼，就是房價便宜。很老的星級賓館了，愧對4星的標準了。補充點評2008年5月31日：不過在安慶也就這家好一點，其他的要麼很遠，要麼更差。
11,1,其他倒沒什麼，就是太吵了，隔音不好，希望能改進一下。
12,1,"其他都可以,儘管不夠5星標準,但還是很乾淨寬敞,最不能忍受的在度假區吃的自助海鮮晚餐,整個被蒼蠅包圍了,眼看著食物上落滿了蒼蠅,花了不少錢,落了一肚火....過道的海灘很美,很靜,"
13,1,其他都很不錯，就是叫出租不是太方便~
14,1,其他還好，就是早餐一般。酒店設施沒有其他城市的喜來登出色。賓館回饋2008年8月8日：感謝您選擇下榻本酒店！最近本酒店新上任的新加坡籍行政主廚，正在根據客人的回饋對菜肴進行改進，同時近期也有不少新的餐飲促銷推廣活動，相信下一次的體驗肯定不會讓您失望。歡迎您再次入住，衷心祝您身體健康，工作順利!
15,1,其它都可以但本次提供的房間不好窗戶離牆只有幾公分，應事先和客人打個招呼說明一下，否則很鬱悶。
16,1,"其我很喜大宗酒店的洲式,外和也很美,次已是第2次入住,感也是很不,服很有貌,如果上可以提供多更好,因我得那次入住是840多元,含早,次是750,不含早,其不是差太,但我比喜那次入住的房,如果可以提供不同的房就好了,有被子只有羽被,我比喜棉被,羽被太了..哈,我相信我下次也入住,"
17,1,其實已經住過這間酒店很多次了，以前是公司合同酒店，所以不能在這裡評價，但實際上，我喜歡這間酒店已經很久了。這間酒店是我在深圳的兩間指定酒店之一。以前去，這間酒店的大堂有股黴味，這次去已經好多了。缺點就是酒店大堂太小了。服務非常好，服務員態度很好，很有禮貌。只是三部電梯中的一部太小了，而且，不能和其它兩部電梯聯動。房間異常的好，只是風景不好(這是沒辦法的)。交通方便，有很多計程車。因為酒店在住宅區裡，大堂旁邊就是銀行提款機，對面是便利店，酒店旁邊有一個咖啡酒吧。總之，這間酒店極好，極有推薦價值。反正我下次還會住的補充點評2008年7月31日：補充樓下人說房間裡的“的、的、的”聲，這是空調的聲音，我試過，把空調管理睡就好了(但不可能，太熱了)，我房間也有這種聲響，但不影響睡眠，建議酒店看一下，怪恐怖的，但實際上，真的不用害怕。還有，床很舒服，但很小。建議：提供“蕎麥”枕頭，比如我，我就不喜歡那種軟的枕頭，睡著不舒服。
18,1,其實已經是多次入住了，基本上是每次去北京首選的地方，不知道是習慣了如家的感覺還是怎麼樣，總之現在的房間是越住越覺得寬。熱水依然充足，熱量/水量十足。習慣了北京城的巨大，其實出門左右兩邊都有好吃的地。最近馬路左手斜對面又新開了一家24小時的拉麵館，淩晨睡不著又餓的時候再也無需找計程車滿城亂鑽了。
