text_a,text_b,label,idx
支持陳前總統保外就醫,"早就應該儘快「保外就醫」,而准予保外就醫,外界關切陳水扁能否獲准保外就醫,鑑定結果一致認定通過「阿扁應保外就醫,而有必要保外就醫的人,准扁保外就醫",2.0,0
支持陳前總統保外就醫,"鎖定中時,她在學校上電腦課時,(中時電子報),中時電子報提供您最新生活資訊,將原本釣起的魚媽媽放回水中,同時表態自己是支持連勝文",1.0,1
支持陳前總統保外就醫,"陳水扁的健康狀況過去兩年來包括台北榮總,都站在支持應給予陳水扁保外就醫這邊,而陳順勝的鑑定報告中更載明「陳水扁身心狀態需全天候之照護,針對法務部昨（8）日指若前總統陳水扁近半年病情確有變化,法務部長以陳水扁提出保外就醫聲請依據的診斷證明並非最新為由,立即讓陳水扁保外就醫",3.0,2
支持陳前總統保外就醫,"昨日上午先由主委莊瑞雄發函黨中央,扁在○八年的退黨記者會上,受理的台北市黨部昨日以「逕送中央」方式,讓黨中央相當棘手,盡速審理扁入黨的民進黨台北市黨部,旋即由黨秘書長林錫耀邀集組織部主任李文忠等人,昨天一共否決一萬多件新進黨員的申請案,入黨都必須經過地方初審,面對扁入黨引發的爭議,民進黨發言人王閔生表示,依民進黨規定應召開「入黨審查會議」,前總統陳水扁申請重回民進黨,日前民進黨調查黑道入黨爭議時,",1.0,3
支持陳前總統保外就醫,"讓前總統陳水扁早日回高雄保外就醫,讓昨天該返家的陳水扁,醫療專業已認定阿扁可保外就醫,陳水扁回高雄後,陳菊並對昨天矯正署就陳水扁保外就醫案做出的決議頗有微詞,讓陳水扁早日回高雄保外就醫",3.0,4
支持陳前總統保外就醫,"不會提升台灣國際形象,加重社會傷痕,他不會下令做違法的事,許多人會突然腦充血,以撫平社會傷痕,不會變為馬英九的政績,不會彰顯台灣司法權威,只會深化政治對立,文明和司法社會政治各角度,有人說會助長台獨氣焰,絕對不會積極主動找辦法解決問題",1.0,5
支持陳前總統保外就醫,"能造訪台灣並繼續支持台灣,新任主席能造訪台灣並繼續支持台灣,包括呼籲台灣政府能夠讓前總統陳水扁保外就醫,蘇貞昌於台北時間24日晚間(倫敦時間24日上午)訪問位於英國國會附近的國際自由聯盟總部(LiberalInternational),並感謝國際自由聯盟長期支持台灣民主,曾兩度針對台灣通過重要的決議",1.0,6
支持陳前總統保外就醫,"支持特赦的綠委李應元說,讓更多人支持特赦,期待透過特赦扁,「聲援格局放大」對於連線發起特赦連署,連線曾就《赦免法》中的特赦形態「免刑」或「免罪」討論,以健康因素訴求執筆特赦連署書的前扁辦主任陳淞山說,像韓國也有特赦的例子,應有特殊政治思考,利用第二任就職機會特赦扁,【張麗娜╱台北報導】「一邊一國」連線決議發動綠營立委連署特赦前總統陳水扁,因此要以「特赦阿扁,像美麗島事件特赦就屬「免罪」特赦,犯罪的",3.0,7
支持陳前總統保外就醫,"媒體詢問陳水扁由台北榮總移往培德醫院一事,讓前總統陳水扁保外就醫,北榮醫療團隊建議讓陳水扁回家療養,人民期待陳水扁保外就醫,支持阿扁保外就醫的台南市長賴清德,這有益於陳水扁的健康,陳水扁移到培德醫院是不對的,因此他堅持立刻讓陳水扁保外就醫,否則阿扁情況一定會更糟",2.0,8
支持陳前總統保外就醫,"就應該尊重醫師專業診斷,呼籲法務部尊重榮總對前總統陳水扁應「離開目前監禁環境」的專業診斷,醫界非常尊重專業,目前須讓扁在醫療專區繼續照顧,商業等角度介入醫病關係,法部︰續留醫療專區照顧法務部政務次長陳明堂則表示,項程鎮／台北報導〕中研院廿一位具醫學背景的院士聯合發表「籲請尊重醫學專業與醫療人權」聲明",2.0,10
