text_a	text_b	label	idx
支持陳前總統保外就醫	外界關切陳水扁能否獲准保外就醫,鑑定結果一致認定通過「阿扁應保外就醫,准扁保外就醫,而有必要保外就醫的人,而准予保外就醫,早就應該儘快「保外就醫」	2.0	0
支持陳前總統保外就醫	將原本釣起的魚媽媽放回水中,她在學校上電腦課時,(中時電子報),中時電子報提供您最新生活資訊,鎖定中時,同時表態自己是支持連勝文	1.0	1
支持陳前總統保外就醫	陳水扁的健康狀況過去兩年來包括台北榮總,針對法務部昨（8）日指若前總統陳水扁近半年病情確有變化,立即讓陳水扁保外就醫,法務部長以陳水扁提出保外就醫聲請依據的診斷證明並非最新為由,而陳順勝的鑑定報告中更載明「陳水扁身心狀態需全天候之照護,都站在支持應給予陳水扁保外就醫這邊	3.0	2
支持陳前總統保外就醫	由於入黨申請必須先經過地方初審,日前民進黨調查黑道入黨爭議時,儘管黨主席公開喊話,民進黨發言人王閔生表示,發現各地出現的異常入黨現象,旋即由黨秘書長林錫耀邀集組織部主任李文忠等人,昨天一共否決一萬多件新進黨員的申請案,依民進黨規定應召開「入黨審查會議」,面對地方黨部連「形式審查」都不願意做,台中市廖姓台商及屏東縣前國民黨縣議長等勢力的申請案,而且○八年民進黨廉政會對扁做出「視同除名」的決議,入黨都	1.0	3
支持陳前總統保外就醫	姓台商及屏東縣前國民黨縣議長等勢力的申請案,而且○八年民進黨廉政會對扁做出「視同除名」的決議,入黨都必須經過地方初審,但扁入黨仍是一波三折,扁在○八年的退黨記者會上,才能進入中央複審,今天的入黨申請,扁申請入黨案,前總統陳水扁申請重回民進黨,讓黨中央相當棘手,由於扁的入黨屬於高度爭議性,面對扁入黨引發的爭議,所以他還是決定將案子直接逕送黨中央的複審小組做決定,昨日由黨中央入黨複審小組召開會議進行討	1.0	3
支持陳前總統保外就醫	讓陳水扁早日回高雄保外就醫,醫療專業已認定阿扁可保外就醫,陳菊並對昨天矯正署就陳水扁保外就醫案做出的決議頗有微詞,陳水扁回高雄後,讓前總統陳水扁早日回高雄保外就醫,讓昨天該返家的陳水扁	3.0	4
支持陳前總統保外就醫	只會深化政治對立,許多人會突然腦充血,他不會下令做違法的事,文明和司法社會政治各角度,不會變為馬英九的政績,不會提升台灣國際形象,有人說會助長台獨氣焰,不會彰顯台灣司法權威,以撫平社會傷痕,加重社會傷痕,絕對不會積極主動找辦法解決問題	1.0	5
支持陳前總統保外就醫	並感謝國際自由聯盟長期支持台灣民主,蘇貞昌於台北時間24日晚間(倫敦時間24日上午)訪問位於英國國會附近的國際自由聯盟總部(LiberalInternational),能造訪台灣並繼續支持台灣,曾兩度針對台灣通過重要的決議,包括呼籲台灣政府能夠讓前總統陳水扁保外就醫,新任主席能造訪台灣並繼續支持台灣	1.0	6
支持陳前總統保外就醫	「聲援格局放大」對於連線發起特赦連署,支持特赦的綠委李應元說,像韓國也有特赦的例子,應有特殊政治思考,期待透過特赦扁,犯罪的卸任總統多數遭軟禁或特赦,像美麗島事件特赦就屬「免罪」特赦,利用第二任就職機會特赦扁,以健康因素訴求執筆特赦連署書的前扁辦主任陳淞山說,因此要以「特赦阿扁,【張麗娜╱台北報導】「一邊一國」連線決議發動綠營立委連署特赦前總統陳水扁,讓更多人支持特赦,連線曾就《赦免法》中的特赦形	3.0	7
支持陳前總統保外就醫	否則阿扁情況一定會更糟,陳水扁移到培德醫院是不對的,讓前總統陳水扁保外就醫,支持阿扁保外就醫的台南市長賴清德,北榮醫療團隊建議讓陳水扁回家療養,媒體詢問陳水扁由台北榮總移往培德醫院一事,這有益於陳水扁的健康,因此他堅持立刻讓陳水扁保外就醫,人民期待陳水扁保外就醫	2.0	8
支持陳前總統保外就醫	馬總統又直接要求國安局提出懲處名單,警察局只要面對可能威脅總統府的人民,包括不在總統府,而今馬總統藉由砂石車衝撞總統府的單一事件,總統府要求夜封凱道,總統府暫緩執行夜封凱道措施,郝龍斌句句批評都指向馬總統,要求國安局把市政府納入通盤檢討範圍,仍可由總統下令指揮,馬政府執政不佳,人民到總統府前陳情抗議的空間將被限縮	1.0	9
支持陳前總統保外就醫	商業等角度介入醫病關係,呼籲法務部尊重榮總對前總統陳水扁應「離開目前監禁環境」的專業診斷,法部︰續留醫療專區照顧法務部政務次長陳明堂則表示,目前須讓扁在醫療專區繼續照顧,項程鎮／台北報導〕中研院廿一位具醫學背景的院士聯合發表「籲請尊重醫學專業與醫療人權」聲明,醫界非常尊重專業,就應該尊重醫師專業診斷	2.0	10
支持陳前總統保外就醫	女方也是台中人,陳致中這才停下腳步,陳致中夫妻帶著女兒,陳致中夫妻盛裝打扮,陳致中夫妻原本都以謝謝做回應,陳致中：「從12月24日到現在,直到問到陳水扁在獄中,」陳致中強調父親保外就醫,陳致中說	2.0	11
支持陳前總統保外就醫	並強調民進黨很關心扁的健康,前民進黨主席蔡英文等人,未來扁家將與民進黨一起努力,親自行文給民進黨各級民意代表,希望社會各界能分進合擊,昨日下午民進黨更召開中常會,日前赴民進黨中央邀請蘇貞昌參與連署,及全台二六六位民進黨籍市議員,民進黨主席蘇貞昌昨日證實,民進黨已協調各級民代聲援扁的醫療人權,在有了民進黨的支持後	3.0	12
支持陳前總統保外就醫	蘇貞昌主席也「呼籲」大家要站出來,蘇貞昌主席「呼籲」大家要站出來,蘇貞昌才在那裏沉痛「呼籲」,但一再看到蘇主席自廢武功的「呼籲」,蘇貞昌主席「呼籲」馬總統應讓阿扁保外就醫,而蘇主席的「呼籲」值多少	1.0	13
