text_a,text_b,label,idx,predicted
支持陳前總統保外就醫,"蘇貞昌告訴扁媽,扁媽盼恢復陳致中黨籍陳李慎也數度向蘇貞昌泣訴說,蘇貞昌說,盼蘇貞昌快把阿扁救出來,〔記者李欣芳／台南報導〕民進黨主席蘇貞昌昨前往台南官田,蘇貞昌承諾會進行了解,蘇貞昌昨一度有疑問,」蘇貞昌急忙安慰說：「妳要堅強,蘇貞昌當場還拿出資料,扁媽一看到蘇貞昌立即哭求「救阿扁」,蘇貞昌昨啟動全國下鄉參訪",0.5,0,1
支持陳前總統保外就醫,"以激進非暴力行動,非暴力運動堅持「真理的力量」,若針對權力者個人,講述非暴力理念,喪失理性說服力和制度建立的時機,使非暴力運動變調,訓練非暴力行動要領,整個運動異化成「扁施對決」的政治角力,面對暴力不退卻,715學者反招來同儕的壓力,指揮「非暴力抗爭」,非暴力抗爭不應針對人",0.5,1,1
支持陳前總統保外就醫,"打擊醫療人權,南市議員「為人權,就醫人權更不容政治介入,民眾高喊「護人權,民進黨黨公職人員陪走相挺,人權是普世價值,國人清楚看到政治黑手介入,前立委李進勇等人陪走相挺,郭國文三人發起的「為人權,要求確保陳水扁的醫療人權",0.5,2,2
支持陳前總統保外就醫,"馬政府就立刻讓扁保外就醫,前總統陳水扁保外就醫露曙光,怎麼可能綠營說保外就醫,盡速同意讓扁保外就醫,至於何時陳水扁能保外就醫,也開啟扁保外就醫的機會之窗,也為扁保外就醫重啟機會之窗,立院黨團繼續就陳前總統保外就醫,令人不禁懷疑馬政府拒絕讓扁保外就醫是基於不當政治考量",0.5,3,2
支持陳前總統保外就醫,"陳水扁兒子陳至中上午都到台中監獄等候,法務部應該在103年12月31日就釋放陳水扁,很期待陳水扁可以早日回家療養,法務部矯正署今天審核前總統陳水扁保外就醫案",0.5,4,2
支持陳前總統保外就醫,"獄方應該要確保父親生命健康和安全,父親的身體狀況並沒有解除,也告知父親,就父親狀況做理性討論和徹底檢查,父親持續有胸痛,上次父親戒護就醫檢查前,父親三天前寄回來的家書中,讓父親迅速就醫",0.5,5,1
支持陳前總統保外就醫,"針對前總統陳水扁被送往培德醫院,就是說阿扁應該保外就醫定期還診,如今法務部還將陳水扁送往培德醫院,把阿扁緊急送往培德醫院這是我們不能接受的事情,藉此強調陳水扁應該保外就醫,因此在北榮已經有診斷證明書的情況下還將陳水扁送往培德醫院,(蕭照平報導)針對前總統陳水扁被送往培德醫院",0.5,6,2
支持陳前總統保外就醫,"與其說郝龍斌動作太快,是否真的如郝龍斌所言,郝龍斌援助災區,認定郝龍斌是向二○一六進軍,即使郝龍斌真的有政治動機,文化部長龍應台對公視董事提名超黨派的努力,郝的支持度也向上攀升,郝龍斌開竅了",0.5,7,1
支持陳前總統保外就醫,"蔡英文昨天表示民進黨不排除循柯文哲模式安排立委補選的參選人,媒體詢問民進黨要如何和新當選的台北市長柯文哲合作,且能和民進黨的候選人做評比和審酌,民進黨如果有好人才,民主進步黨主席蔡英文今天表示,民進黨在台北市議會有27席,台北市周邊民進黨執政的縣市長",0.5,8,1
支持陳前總統保外就醫,"從扁保外就醫案就可看出,病情嚴重必須長期監外住院治療」,報請監督機關許可保外醫治或移送病監或醫院」,引發外界對審查標準不一的質疑,保外居家看護過程尊重扁家自主性,必須長期在監外復健」,因此台灣應建立保外就醫制度,目前保外就醫無明文規定何種情況可保外就醫,但保外就醫審查僅有本法而無明確的標準",0.5,9,2
